,id,expected_recovery_amount,actual_recovery_amount,recovery_strategy,age,sex
506,378,1307,1045.331523,Level 1 Recovery,28,Male
507,1026,1307,921.0172868999999,Level 1 Recovery,22,Female
508,516,1308,1521.6613810000001,Level 1 Recovery,40,Male
509,1673,1311,1938.5571670000002,Level 1 Recovery,42,Male
510,1895,1312,1025.139774,Level 1 Recovery,19,Male
511,1128,1314,954.8662327999999,Level 1 Recovery,25,Male
512,1810,1319,981.4534971,Level 1 Recovery,25,Male
513,611,1320,1105.055624,Level 1 Recovery,40,Female
514,1182,1322,1660.312889,Level 1 Recovery,27,Male
515,1997,1322,705.468397,Level 1 Recovery,27,Male
516,471,1326,1130.2182619999999,Level 1 Recovery,33,Female
517,1873,1326,1286.665758,Level 1 Recovery,32,Female
518,896,1327,671.293442,Level 1 Recovery,31,Male
519,946,1327,1333.050574,Level 1 Recovery,33,Female
520,1398,1328,962.151423,Level 1 Recovery,29,Female
521,1233,1329,1429.997143,Level 1 Recovery,43,Male
522,1891,1329,712.6722126,Level 1 Recovery,22,Male
523,1338,1331,1106.675867,Level 1 Recovery,35,Male
524,958,1332,1278.528584,Level 1 Recovery,30,Female
525,1526,1335,1074.9689640000001,Level 1 Recovery,32,Male
526,1917,1336,1148.743613,Level 1 Recovery,34,Male
527,74,1337,1121.2438769999999,Level 1 Recovery,29,Male
528,1634,1338,862.7622359,Level 1 Recovery,26,Male
529,577,1339,1042.522246,Level 1 Recovery,37,Male
530,642,1342,1958.8649879999998,Level 1 Recovery,43,Male
531,868,1343,1101.1313289999998,Level 1 Recovery,19,Male
532,207,1345,1351.839,Level 1 Recovery,29,Female
533,870,1347,1103.907577,Level 1 Recovery,25,Male
534,1481,1347,1403.206105,Level 1 Recovery,18,Female
535,1114,1348,1263.61425,Level 1 Recovery,31,Male
536,1791,1350,1183.951324,Level 1 Recovery,41,Male
537,1222,1352,700.1352224,Level 1 Recovery,23,Female
538,1315,1352,1311.4093369999998,Level 1 Recovery,22,Male
539,1807,1352,731.5646341,Level 1 Recovery,26,Female
540,1950,1353,961.7995192,Level 1 Recovery,24,Male
541,184,1354,1194.3184199999998,Level 1 Recovery,31,Male
542,1878,1354,1509.994178,Level 1 Recovery,21,Male
543,651,1355,1829.535504,Level 1 Recovery,28,Female
544,1983,1355,1026.966077,Level 1 Recovery,31,Female
545,737,1356,2031.751803,Level 1 Recovery,28,Male
546,1499,1356,1762.230756,Level 1 Recovery,23,Male
547,538,1358,1098.817668,Level 1 Recovery,34,Male
548,1954,1359,905.6831387,Level 1 Recovery,29,Female
549,338,1360,657.4232036000001,Level 1 Recovery,23,Female
550,22,1361,1095.9951130000002,Level 1 Recovery,35,Male
551,1699,1361,1856.082886,Level 1 Recovery,38,Female
552,1239,1362,1811.405116,Level 1 Recovery,42,Male
553,1102,1363,1695.6406510000002,Level 1 Recovery,43,Female
554,1111,1363,1290.5892310000002,Level 1 Recovery,39,Female
555,582,1369,1220.492185,Level 1 Recovery,20,Female
556,1626,1370,1261.2049869999998,Level 1 Recovery,35,Female
557,86,1373,1212.121908,Level 1 Recovery,35,Male
558,798,1374,2119.583219,Level 1 Recovery,27,Female
559,1519,1378,1104.669122,Level 1 Recovery,35,Male
560,762,1380,784.5059284,Level 1 Recovery,24,Male
561,1920,1380,932.1284448999999,Level 1 Recovery,32,Male
562,1982,1385,1124.043772,Level 1 Recovery,25,Male
563,802,1386,1603.162435,Level 1 Recovery,31,Male
564,887,1386,1214.884823,Level 1 Recovery,29,Male
565,1075,1386,1522.9468669999999,Level 1 Recovery,38,Male
566,1208,1386,1003.365286,Level 1 Recovery,35,Male
567,1651,1386,1723.6446239999998,Level 1 Recovery,48,Male
568,779,1393,1177.3914220000001,Level 1 Recovery,43,Female
569,1883,1393,1295.321567,Level 1 Recovery,33,Female
570,232,1400,921.9166015000001,Level 1 Recovery,22,Male
571,1563,1401,953.2696212000001,Level 1 Recovery,21,Female
572,1087,1404,1254.4853289999999,Level 1 Recovery,30,Female
573,1332,1407,1171.459266,Level 1 Recovery,21,Female
574,677,1408,1763.1869550000001,Level 1 Recovery,29,Female
575,825,1408,1223.4014029999998,Level 1 Recovery,36,Female
576,1010,1409,1324.92227,Level 1 Recovery,39,Female
577,337,1412,944.5833672,Level 1 Recovery,31,Male
578,1483,1413,1582.973608,Level 1 Recovery,24,Male
579,1991,1414,1334.746905,Level 1 Recovery,39,Female
580,1973,1415,1153.52381,Level 1 Recovery,30,Male
581,14,1416,1148.242783,Level 1 Recovery,33,Female
582,975,1416,2025.375857,Level 1 Recovery,47,Female
583,1999,1416,1811.1843820000001,Level 1 Recovery,23,Female
584,1614,1419,956.7491255000001,Level 1 Recovery,28,Male
585,1985,1419,1266.757063,Level 1 Recovery,23,Female
586,364,1421,1928.022842,Level 1 Recovery,22,Female
587,1489,1425,1198.2024609999999,Level 1 Recovery,28,Female
588,1543,1425,1208.3008960000002,Level 1 Recovery,36,Male
589,1808,1426,1013.756986,Level 1 Recovery,19,Male
590,169,1428,1147.902585,Level 1 Recovery,28,Female
591,698,1429,1261.506377,Level 1 Recovery,21,Female
592,1734,1429,1066.8856449999998,Level 1 Recovery,31,Female
593,1093,1434,1039.793091,Level 1 Recovery,18,Male
594,1655,1434,1190.085536,Level 1 Recovery,41,Male
595,357,1436,1150.011798,Level 1 Recovery,29,Female
596,1610,1437,1378.536789,Level 1 Recovery,39,Male
597,1505,1438,1600.301377,Level 1 Recovery,30,Female
598,481,1439,1078.27469,Level 1 Recovery,45,Male
599,122,1440,1242.7545189999998,Level 1 Recovery,19,Male
600,299,1441,722.4840015,Level 1 Recovery,29,Male
601,1611,1441,1171.2460859999999,Level 1 Recovery,22,Female
602,950,1443,1307.53409,Level 1 Recovery,25,Female
603,989,1444,1496.31006,Level 1 Recovery,28,Male
604,1451,1444,2180.807521,Level 1 Recovery,32,Male
605,1771,1445,1137.116763,Level 1 Recovery,29,Female
606,220,1458,1280.586164,Level 1 Recovery,40,Male
607,2003,1458,976.2631771,Level 1 Recovery,28,Female
608,1510,1467,1376.214967,Level 1 Recovery,28,Female
609,1276,1468,1180.51233,Level 1 Recovery,35,Female
610,1307,1468,1220.074733,Level 1 Recovery,32,Female
611,1801,1468,1129.113969,Level 1 Recovery,30,Female
612,179,1470,1126.502294,Level 1 Recovery,28,Male
613,1964,1471,1164.334135,Level 1 Recovery,29,Female
614,159,1473,656.0293360000001,Level 1 Recovery,34,Female
615,853,1473,1871.546755,Level 1 Recovery,20,Female
616,464,1475,1013.704233,Level 1 Recovery,29,Female
617,894,1476,826.2473362000001,Level 1 Recovery,29,Male
618,1044,1476,2283.955853,Level 1 Recovery,37,Male
619,727,1478,2092.595319,Level 1 Recovery,24,Female
620,359,1481,1230.649431,Level 1 Recovery,32,Female
621,1285,1481,1449.713653,Level 1 Recovery,24,Female
622,1553,1481,1229.6143359999999,Level 1 Recovery,40,Female
623,1876,1481,1432.1553279999998,Level 1 Recovery,23,Female
624,964,1482,1570.194465,Level 1 Recovery,32,Male
625,523,1487,1071.993712,Level 1 Recovery,33,Male
626,1236,1487,705.4593812999999,Level 1 Recovery,25,Female
627,819,1490,1519.863498,Level 1 Recovery,22,Female
628,489,1491,1021.0517619999999,Level 1 Recovery,27,Female
629,892,1491,1223.493153,Level 1 Recovery,32,Female
630,1384,1491,1027.3705220000002,Level 1 Recovery,36,Female
631,1450,1492,2417.504985,Level 1 Recovery,41,Female
632,180,1494,698.2502952000001,Level 1 Recovery,24,Male
633,1905,1494,1139.4647539999999,Level 1 Recovery,41,Female
634,1347,1497,1137.1866519999999,Level 1 Recovery,22,Female
635,1704,1499,1998.8500600000002,Level 1 Recovery,18,Male
636,148,1500,783.4688167,Level 1 Recovery,27,Male
637,1045,1500,1220.62661,Level 1 Recovery,24,Male
638,203,1505,1298.5446359999999,Level 1 Recovery,32,Male
639,1177,1508,1643.605456,Level 1 Recovery,24,Female
640,775,1509,1218.9137660000001,Level 1 Recovery,27,Female
641,1195,1509,1352.075851,Level 1 Recovery,18,Male
642,654,1510,2567.265621,Level 1 Recovery,26,Female
643,1855,1512,1360.803302,Level 1 Recovery,34,Male
644,850,1515,1209.640247,Level 1 Recovery,37,Female
645,657,1516,2318.1054489999997,Level 1 Recovery,24,Female
646,1832,1516,780.1929546,Level 1 Recovery,28,Female
647,287,1521,990.9491063999999,Level 1 Recovery,26,Male
648,766,1522,1039.162449,Level 1 Recovery,23,Female
649,1524,1522,1546.054175,Level 1 Recovery,30,Male
650,1665,1522,2110.876294,Level 1 Recovery,28,Male
651,733,1525,1785.238307,Level 1 Recovery,33,Male
652,1293,1525,1217.709622,Level 1 Recovery,19,Male
653,2010,1525,1595.550013,Level 1 Recovery,27,Male
654,1551,1527,1022.3993039999999,Level 1 Recovery,31,Male
655,13,1528,1862.672904,Level 1 Recovery,45,Female
656,570,1528,1611.217743,Level 1 Recovery,48,Male
657,231,1529,941.0062657999999,Level 1 Recovery,25,Female
658,826,1529,1872.769222,Level 1 Recovery,35,Female
659,1739,1529,975.1500787,Level 1 Recovery,32,Male
660,1212,1533,1234.277493,Level 1 Recovery,48,Male
661,1877,1534,2875.723834,Level 1 Recovery,27,Male
662,95,1537,1434.019592,Level 1 Recovery,35,Female
663,961,1537,1400.290559,Level 1 Recovery,24,Male
664,1416,1538,1188.8034539999999,Level 1 Recovery,20,Female
665,774,1541,1553.066998,Level 1 Recovery,35,Male
666,1160,1545,1837.23014,Level 1 Recovery,20,Female
667,888,1549,1128.011428,Level 1 Recovery,30,Male
668,1387,1550,1288.3526160000001,Level 1 Recovery,19,Female
669,1316,1557,1334.951724,Level 1 Recovery,41,Male
670,1464,1558,1776.2432440000002,Level 1 Recovery,43,Female
671,608,1562,689.9967613,Level 1 Recovery,33,Male
672,692,1563,937.0190587999999,Level 1 Recovery,34,Male
673,1914,1564,772.8418085,Level 1 Recovery,31,Female
674,59,1565,1188.5843320000001,Level 1 Recovery,26,Female
675,764,1567,1083.02413,Level 1 Recovery,19,Female
676,1277,1568,1205.996487,Level 1 Recovery,21,Male
677,1592,1568,1795.962122,Level 1 Recovery,34,Male
678,866,1569,1788.9209600000002,Level 1 Recovery,28,Male
679,1014,1570,1031.198653,Level 1 Recovery,28,Female
680,1492,1571,1677.334795,Level 1 Recovery,30,Male
681,830,1572,1142.273975,Level 1 Recovery,42,Male
682,1608,1572,1309.93883,Level 1 Recovery,29,Male
683,1984,1574,1801.253739,Level 1 Recovery,35,Female
684,46,1577,1459.191947,Level 1 Recovery,28,Female
685,121,1581,2150.555214,Level 1 Recovery,33,Female
686,948,1582,1528.987767,Level 1 Recovery,36,Female
687,1167,1582,1628.5459970000002,Level 1 Recovery,34,Female
688,561,1583,865.4346188999999,Level 1 Recovery,32,Male
689,1441,1583,1178.440174,Level 1 Recovery,32,Female
690,1434,1584,2508.839371,Level 1 Recovery,52,Male
691,1639,1585,1774.558529,Level 1 Recovery,44,Male
692,1500,1586,1518.362108,Level 1 Recovery,29,Male
693,1735,1587,884.812734,Level 1 Recovery,25,Male
694,2014,1587,1769.3832949999999,Level 1 Recovery,20,Female
695,695,1589,1119.4636990000001,Level 1 Recovery,27,Male
696,1796,1594,1082.731078,Level 1 Recovery,19,Female
697,168,1595,739.1475396000001,Level 1 Recovery,34,Male
698,505,1600,1571.12258,Level 1 Recovery,37,Female
699,1404,1601,2474.534732,Level 1 Recovery,18,Female
700,243,1602,766.183135,Level 1 Recovery,26,Female
701,1530,1602,1269.878913,Level 1 Recovery,34,Female
702,720,1605,1327.729902,Level 1 Recovery,39,Male
703,136,1606,1360.3813480000001,Level 1 Recovery,29,Female
704,747,1610,1071.002655,Level 1 Recovery,21,Female
705,1880,1610,1528.5759070000001,Level 1 Recovery,32,Male
706,1493,1614,1319.6193130000001,Level 1 Recovery,33,Male
707,1548,1614,990.5231645,Level 1 Recovery,21,Female
708,871,1615,1348.85756,Level 1 Recovery,22,Male
709,1576,1615,1360.153666,Level 1 Recovery,41,Female
710,1427,1616,1182.775533,Level 1 Recovery,40,Female
711,734,1620,727.1146096,Level 1 Recovery,31,Male
712,876,1620,1258.444021,Level 1 Recovery,30,Male
713,977,1620,1573.044517,Level 1 Recovery,33,Male
714,1185,1621,1968.9257329999998,Level 1 Recovery,35,Male
715,435,1625,2606.1776649999997,Level 1 Recovery,20,Female
716,114,1626,1414.068948,Level 1 Recovery,19,Male
717,1174,1626,2335.9118989999997,Level 1 Recovery,42,Male
718,777,1628,1411.7923529999998,Level 1 Recovery,42,Female
719,1902,1628,1116.278165,Level 1 Recovery,43,Male
720,918,1631,1515.60449,Level 1 Recovery,22,Female
721,245,1634,1022.3506689999999,Level 1 Recovery,39,Female
722,595,1634,1409.0376919999999,Level 1 Recovery,56,Male
723,736,1634,1463.345168,Level 1 Recovery,30,Female
724,822,1634,1631.570471,Level 1 Recovery,18,Female
725,1096,1638,1523.9505,Level 1 Recovery,41,Male
726,1545,1638,1206.907385,Level 1 Recovery,24,Female
727,1939,1640,1730.8206149999999,Level 1 Recovery,38,Female
728,1761,1642,2221.772348,Level 1 Recovery,32,Female
729,1455,1646,1506.1987900000001,Level 1 Recovery,37,Female
730,1100,1650,1959.405372,Level 1 Recovery,35,Female
731,259,1656,3266.266131,Level 1 Recovery,41,Female
732,667,1658,1402.18412,Level 1 Recovery,33,Female
733,1568,1658,2001.3520620000002,Level 1 Recovery,35,Male
734,1840,1659,1085.7602160000001,Level 1 Recovery,20,Female
735,1021,1660,1508.838442,Level 1 Recovery,26,Female
736,1269,1660,1607.340516,Level 1 Recovery,33,Male
737,351,1662,926.0379144,Level 1 Recovery,26,Female
738,953,1663,1677.512084,Level 1 Recovery,44,Female
739,1042,1663,1132.935539,Level 1 Recovery,24,Female
740,1308,1663,1763.756606,Level 1 Recovery,23,Male
741,282,1665,1149.894763,Level 1 Recovery,35,Female
742,865,1666,2033.235854,Level 1 Recovery,41,Female
743,483,1668,927.4788922,Level 1 Recovery,30,Male
744,1602,1668,1765.350112,Level 1 Recovery,20,Female
745,1918,1669,1773.9640670000001,Level 1 Recovery,30,Male
746,1702,1670,3042.7890620000003,Level 1 Recovery,21,Male
747,490,1681,1041.784016,Level 1 Recovery,28,Female
748,1919,1682,1737.4955989999999,Level 1 Recovery,28,Male
749,593,1684,2278.627677,Level 1 Recovery,45,Male
750,630,1686,1903.710409,Level 1 Recovery,27,Female
751,450,1687,2777.8043079999998,Level 1 Recovery,32,Male
752,728,1688,2023.762683,Level 1 Recovery,32,Female
753,1929,1689,1591.479965,Level 1 Recovery,52,Male
754,151,1690,1205.1350009999999,Level 1 Recovery,29,Male
755,457,1691,685.5827034,Level 1 Recovery,23,Female
756,16,1694,1829.8596149999998,Level 1 Recovery,22,Female
757,704,1697,1442.234316,Level 1 Recovery,21,Male
758,1979,1698,1938.903991,Level 1 Recovery,23,Male
759,791,1699,1977.199262,Level 1 Recovery,20,Female
760,1924,1699,1303.7294140000001,Level 1 Recovery,33,Male
761,643,1700,1416.214868,Level 1 Recovery,27,Female
762,1517,1702,1487.802633,Level 1 Recovery,45,Male
763,1353,1704,1384.198203,Level 1 Recovery,18,Male
764,382,1705,1200.714668,Level 1 Recovery,20,Female
765,544,1705,1307.50291,Level 1 Recovery,26,Male
766,814,1706,1616.176301,Level 1 Recovery,38,Female
767,36,1709,2224.0986629999998,Level 1 Recovery,24,Male
768,580,1710,1350.842239,Level 1 Recovery,33,Male
769,1888,1710,1256.072288,Level 1 Recovery,31,Male
770,535,1711,2752.075985,Level 1 Recovery,19,Female
771,1292,1712,1097.302526,Level 1 Recovery,23,Male
772,246,1716,1324.911259,Level 1 Recovery,36,Male
773,665,1716,1519.692974,Level 1 Recovery,26,Female
774,897,1719,1101.779229,Level 1 Recovery,43,Female
775,1429,1720,1042.227843,Level 1 Recovery,32,Male
776,1767,1720,1648.1652,Level 1 Recovery,29,Female
777,111,1721,1127.705685,Level 1 Recovery,30,Female
778,1692,1721,1547.691331,Level 1 Recovery,28,Female
779,789,1723,1265.2873550000002,Level 1 Recovery,30,Male
780,1458,1723,1561.125691,Level 1 Recovery,39,Male
781,1016,1726,1609.663632,Level 1 Recovery,24,Male
782,443,1728,1312.2036039999998,Level 1 Recovery,19,Male
783,1529,1728,1477.702855,Level 1 Recovery,35,Male
784,469,1731,1205.222802,Level 1 Recovery,33,Male
785,1599,1731,1102.561316,Level 1 Recovery,25,Male
786,1534,1735,1065.101513,Level 1 Recovery,36,Male
787,609,1738,992.4478713999999,Level 1 Recovery,26,Female
788,498,1739,1348.5605460000002,Level 1 Recovery,34,Male
789,518,1739,1544.478814,Level 1 Recovery,36,Male
790,1745,1740,1740.566398,Level 1 Recovery,33,Female
791,341,1741,1112.7329619999998,Level 1 Recovery,28,Male
792,1944,1741,1051.410042,Level 1 Recovery,31,Male
793,809,1743,2381.911411,Level 1 Recovery,23,Female
794,2048,1746,1752.954284,Level 1 Recovery,25,Male
795,1326,1751,1144.2951050000001,Level 1 Recovery,33,Male
796,1609,1752,2128.639009,Level 1 Recovery,27,Female
797,1942,1752,1229.316034,Level 1 Recovery,26,Male
798,1792,1754,1666.322316,Level 1 Recovery,35,Female
799,115,1756,1120.688873,Level 1 Recovery,20,Female
800,820,1757,1301.9629419999999,Level 1 Recovery,33,Male
801,1659,1762,1406.5023039999999,Level 1 Recovery,26,Male
802,1154,1768,1467.746075,Level 1 Recovery,38,Male
803,519,1771,1738.530775,Level 1 Recovery,20,Female
804,1325,1772,2249.029502,Level 1 Recovery,20,Female
805,38,1773,2741.342187,Level 1 Recovery,28,Female
806,1345,1773,1165.185881,Level 1 Recovery,31,Male
807,1688,1774,1801.173354,Level 1 Recovery,28,Female
808,295,1775,1473.311989,Level 1 Recovery,40,Female
809,170,1776,1029.323825,Level 1 Recovery,34,Female
810,479,1777,1560.464827,Level 1 Recovery,34,Male
811,1729,1777,1715.2478820000001,Level 1 Recovery,49,Female
812,970,1780,1462.90395,Level 1 Recovery,38,Female
813,352,1782,1047.9959390000001,Level 1 Recovery,29,Female
814,1079,1783,2229.611839,Level 1 Recovery,39,Female
815,688,1786,1249.814582,Level 1 Recovery,32,Female
816,145,1787,1093.30501,Level 1 Recovery,24,Female
817,827,1787,2449.435444,Level 1 Recovery,42,Male
818,1937,1789,1557.779826,Level 1 Recovery,41,Male
819,514,1793,1178.835216,Level 1 Recovery,18,Female
820,1256,1796,2047.20145,Level 1 Recovery,32,Male
821,1442,1796,1748.3304030000002,Level 1 Recovery,40,Female
822,1598,1797,1437.731148,Level 1 Recovery,30,Female
823,166,1798,1663.53663,Level 1 Recovery,20,Male
824,504,1798,1338.677688,Level 1 Recovery,33,Male
825,173,1801,1154.976176,Level 1 Recovery,39,Female
826,1334,1804,1158.210451,Level 1 Recovery,31,Female
827,682,1806,1242.8684269999999,Level 1 Recovery,31,Male
828,1402,1806,1501.1856779999998,Level 1 Recovery,23,Male
829,446,1808,1579.36875,Level 1 Recovery,22,Female
830,844,1809,1507.072597,Level 1 Recovery,34,Male
831,402,1810,1659.453669,Level 1 Recovery,24,Female
832,1778,1810,1572.353215,Level 1 Recovery,33,Male
833,569,1814,1023.7125970000001,Level 1 Recovery,37,Male
834,813,1815,2014.783216,Level 1 Recovery,20,Female
835,1077,1818,1679.5273949999998,Level 1 Recovery,21,Female
836,1591,1820,2117.7517329999996,Level 1 Recovery,25,Male
837,969,1824,1505.542946,Level 1 Recovery,35,Male
838,174,1826,907.5564778999999,Level 1 Recovery,35,Female
839,965,1826,1696.9680079999998,Level 1 Recovery,36,Female
840,2054,1829,2216.847848,Level 1 Recovery,31,Male
841,614,1831,1761.473904,Level 1 Recovery,43,Male
842,1737,1837,1623.192811,Level 1 Recovery,35,Female
843,239,1838,806.023877,Level 1 Recovery,27,Male
844,973,1839,1820.196831,Level 1 Recovery,25,Female
845,1348,1841,1609.0622,Level 1 Recovery,38,Female
846,1681,1843,2070.971439,Level 1 Recovery,32,Male
847,478,1847,950.986833,Level 1 Recovery,35,Male
848,389,1852,1458.778207,Level 1 Recovery,42,Female
849,2017,1852,1071.2475980000002,Level 1 Recovery,29,Male
850,653,1855,1931.723761,Level 1 Recovery,37,Female
851,767,1858,1366.537292,Level 1 Recovery,31,Male
852,1674,1868,1188.923047,Level 1 Recovery,30,Female
853,799,1869,1089.848594,Level 1 Recovery,31,Male
854,129,1870,951.5318641000001,Level 1 Recovery,36,Female
855,1392,1870,893.0947671,Level 1 Recovery,29,Female
856,2056,1871,1000.248119,Level 1 Recovery,31,Female
857,837,1872,1563.704901,Level 1 Recovery,32,Male
858,1063,1873,1984.34583,Level 1 Recovery,34,Male
859,1219,1873,1331.815456,Level 1 Recovery,41,Male
860,1228,1878,1421.6429050000002,Level 1 Recovery,34,Male
861,1507,1879,1571.505756,Level 1 Recovery,47,Male
862,228,1884,1511.6046900000001,Level 1 Recovery,21,Female
863,703,1884,1095.624391,Level 1 Recovery,25,Female
864,346,1886,1313.801525,Level 1 Recovery,28,Female
865,546,1890,1617.32587,Level 1 Recovery,30,Female
866,671,1890,2515.197012,Level 1 Recovery,29,Male
867,852,1890,1758.292029,Level 1 Recovery,23,Female
868,1765,1893,2275.270555,Level 1 Recovery,38,Male
869,77,1898,1649.817043,Level 1 Recovery,25,Male
870,1191,1901,1955.8998739999997,Level 1 Recovery,31,Male
871,398,1905,2038.020341,Level 1 Recovery,45,Male
872,1125,1906,1366.274838,Level 1 Recovery,32,Female
873,1189,1909,1673.228346,Level 1 Recovery,41,Male
874,765,1911,2900.715251,Level 1 Recovery,33,Male
875,139,1913,1244.629382,Level 1 Recovery,37,Male
876,1539,1918,2041.4893719999998,Level 1 Recovery,33,Female
877,1263,1921,1388.405865,Level 1 Recovery,32,Female
878,1886,1921,1677.798159,Level 1 Recovery,21,Male
879,824,1925,2329.960419,Level 1 Recovery,27,Female
880,1205,1931,1544.760013,Level 1 Recovery,23,Male
881,815,1937,2094.966709,Level 1 Recovery,29,Female
882,713,1938,1982.123544,Level 1 Recovery,25,Female
883,1713,1939,1410.065369,Level 1 Recovery,32,Female
884,1787,1943,1501.202793,Level 1 Recovery,29,Male
885,629,1947,1997.171511,Level 1 Recovery,18,Male
886,1960,1949,1589.936858,Level 1 Recovery,33,Female
887,619,1950,3181.187202,Level 1 Recovery,44,Male
888,1686,1950,1828.27477,Level 1 Recovery,26,Female
889,660,1951,1419.948279,Level 1 Recovery,39,Female
890,841,1952,876.3332326,Level 1 Recovery,33,Female
891,966,1952,1752.6341920000002,Level 1 Recovery,26,Male
892,1061,1956,1524.492376,Level 1 Recovery,30,Female
893,1601,1956,1576.8136630000001,Level 1 Recovery,32,Male
894,205,1957,5018.282397999999,Level 1 Recovery,41,Male
895,1252,1957,1737.1482230000001,Level 1 Recovery,31,Female
896,1169,1958,2336.677174,Level 1 Recovery,25,Male
897,740,1959,1415.6526099999999,Level 1 Recovery,29,Female
898,881,1960,1837.996298,Level 1 Recovery,33,Female
899,803,1966,2714.36239,Level 1 Recovery,19,Female
900,587,1969,1818.357719,Level 1 Recovery,40,Male
901,1770,1970,1104.771992,Level 1 Recovery,35,Male
902,1968,1970,1243.107392,Level 1 Recovery,24,Female
903,222,1971,1486.164201,Level 1 Recovery,36,Male
904,1422,1977,2078.48635,Level 1 Recovery,33,Female
905,979,1978,1676.5311359999998,Level 1 Recovery,35,Male
906,1631,1982,2214.908302,Level 1 Recovery,23,Male
907,674,1983,1258.65023,Level 1 Recovery,31,Male
908,534,1984,2512.543451,Level 1 Recovery,38,Male
909,1168,1985,1458.064208,Level 1 Recovery,27,Female
910,715,1986,2389.374966,Level 1 Recovery,40,Male
911,805,1988,2218.180411,Level 1 Recovery,36,Female
912,1282,1988,1475.9574519999999,Level 1 Recovery,28,Female
913,1879,1988,2508.799693,Level 1 Recovery,34,Female
914,922,1990,2072.97117,Level 1 Recovery,40,Male
915,1025,1992,1364.51573,Level 1 Recovery,23,Male
916,213,1997,2694.4988,Level 1 Recovery,33,Male
917,392,2001,2028.4065899999998,Level 2 Recovery,22,Female
918,663,2003,2886.219918,Level 2 Recovery,30,Male
919,26,2004,1880.2778010000002,Level 2 Recovery,36,Male
920,1261,2004,2443.574075,Level 2 Recovery,25,Male
921,1728,2005,1918.7853469999998,Level 2 Recovery,28,Male
922,536,2006,3208.70173,Level 2 Recovery,42,Male
923,812,2010,3187.386425,Level 2 Recovery,40,Male
924,1331,2012,2382.857405,Level 2 Recovery,37,Male
925,549,2015,4557.9937390000005,Level 2 Recovery,33,Female
926,2031,2031,2420.865851,Level 2 Recovery,44,Male
927,1295,2032,3127.760254,Level 2 Recovery,29,Male
928,754,2033,2145.276991,Level 2 Recovery,48,Female
929,411,2036,2175.205409,Level 2 Recovery,50,Male
930,591,2041,1382.577822,Level 2 Recovery,41,Male
931,1089,2042,3208.279562,Level 2 Recovery,57,Male
932,996,2045,3671.3668159999997,Level 2 Recovery,18,Female
933,116,2047,1973.8178719999999,Level 2 Recovery,32,Female
934,1310,2050,1764.7580079999998,Level 2 Recovery,34,Female
935,470,2051,2027.643797,Level 2 Recovery,30,Male
936,1691,2052,2942.5041579999997,Level 2 Recovery,51,Female
937,1940,2054,1450.708592,Level 2 Recovery,43,Male
938,19,2061,1986.9209460000002,Level 2 Recovery,18,Female
939,409,2061,2050.9143489999997,Level 2 Recovery,27,Female
940,971,2061,2802.929366,Level 2 Recovery,27,Female
941,415,2063,2242.029309,Level 2 Recovery,28,Female
942,931,2064,2642.509789,Level 2 Recovery,36,Male
943,1748,2064,3716.271352,Level 2 Recovery,19,Female
944,185,2067,1989.330538,Level 2 Recovery,28,Male
945,634,2071,3025.2686940000003,Level 2 Recovery,38,Male
946,726,2071,2672.3511829999998,Level 2 Recovery,24,Male
947,11,2072,1925.993008,Level 2 Recovery,26,Male
948,706,2074,1543.2489699999999,Level 2 Recovery,41,Male
949,738,2074,2137.942801,Level 2 Recovery,39,Male
950,1827,2076,1634.203657,Level 2 Recovery,30,Male
951,360,2077,2567.629301,Level 2 Recovery,45,Male
952,1627,2080,4222.508136,Level 2 Recovery,25,Male
953,91,2084,2145.988699,Level 2 Recovery,58,Male
954,1882,2084,2034.726416,Level 2 Recovery,27,Female
955,920,2085,1513.2332,Level 2 Recovery,37,Female
956,1440,2085,2732.251685,Level 2 Recovery,27,Female
957,1971,2085,2966.709866,Level 2 Recovery,48,Male
958,1594,2086,4973.876681000001,Level 2 Recovery,19,Male
959,126,2089,1832.4210059999998,Level 2 Recovery,35,Male
960,730,2089,2884.136703,Level 2 Recovery,27,Male
961,1544,2093,2116.884226,Level 2 Recovery,21,Female
962,1887,2097,2486.597606,Level 2 Recovery,39,Female
963,1432,2098,2955.061975,Level 2 Recovery,43,Female
964,146,2103,1824.0503370000001,Level 2 Recovery,33,Female
965,252,2108,1562.305201,Level 2 Recovery,36,Male
966,783,2112,2302.072406,Level 2 Recovery,25,Female
967,1707,2114,2245.59971,Level 2 Recovery,40,Female
968,1318,2124,3000.473889,Level 2 Recovery,21,Female
969,790,2129,4206.590002,Level 2 Recovery,25,Male
970,102,2132,2203.498368,Level 2 Recovery,26,Male
971,1003,2133,2311.090894,Level 2 Recovery,22,Male
972,1669,2134,3128.95914,Level 2 Recovery,19,Female
973,835,2137,2448.235736,Level 2 Recovery,45,Female
974,1996,2140,1637.3377289999999,Level 2 Recovery,40,Male
975,335,2143,2074.051832,Level 2 Recovery,20,Male
976,1095,2143,2029.5697920000002,Level 2 Recovery,28,Male
977,387,2144,2469.371374,Level 2 Recovery,30,Male
978,681,2148,2404.100277,Level 2 Recovery,22,Male
979,687,2150,2353.735482,Level 2 Recovery,32,Male
980,1221,2153,2061.243035,Level 2 Recovery,23,Female
981,1961,2153,2764.849163,Level 2 Recovery,30,Male
982,2011,2157,2482.342414,Level 2 Recovery,31,Female
